Year,Quarter,Number of institutions reporting,Total employees (full-time equivalent),Total Assets,  Loans secured by real estate,    1-4 Family residential mortgages,    Nonfarm nonresidential,    Construction and development,    Home equity lines,    Multifamily residential real estate,    Farmland,    Real estate loans in foreign offices,  Commercial & industrial loans,  Loans to individuals,    Credit cards,    Other loans to individuals,        Auto loans,  Farm loans,  Loans to depository institutions,  Loans to foreign governments & official institutions,  Obligations of states & political subdivisions in the U.S.,  Other loans,  Acceptances of other banks,  Lease financing receivables,  Gross total loans and leases,    Less: Unearned income,  Total loans and leases,    Less: Reserve for losses,  Net loans and leases,  Securities,    Available for sale (fair value),    Held to maturity (amortized cost),    U.S. Treasury securities,    Mortgage-backed securities,    State and municipal securities,    Equity securities,  Cash and due from depository institutions,  Federal  funds sold and reverse repurchase agreements,  Bank premises and fixed assets,  Other real estate owned,  Trading account assets,  Intangible assets,    Goodwill,  Other Assets,Total liabilities and capital,  Deposits,    Foreign office deposits,    Domestic office deposits,      Interest-bearing deposits,      Noninterest-bearing deposits,      Estimated insured deposits,      Time deposits,      Brokered deposits,  Federal funds purchased & repurchase agreements,  FHLB advances,  Other borrowed money,  Banks liability on acceptances,  Subordinated debt,  Trading account liabilities,  Other liabilities,  Total liabilities,  Total equity capital,    Total bank equity capital  ,      Perpetual preferred stock,      Common stock,      Surplus,      Undivided profits,      Foreign currency translation adjustment,      Cumulative other comprehensive income,        Net unrealized gains/losses on a-f-s securities,Tier 1 leverage capital (PCA definition),Tier 1 risk based capital (PCA definition),Total risk based capital (PCA definition),Loans and leases 30-89 days past due,Loans and leases 90 days or more past due,Loans and leases in nonaccrual status,Restructured and current loans and leases,"Income earned, not collected on loans",Loans and leases in foreign offices,Assets in foreign offices,Loans and leases held for sale,Earning assets,Unused loan commitments - total,  Unused home equity lines,  Unused credit card lines,  Unused commercial real estate lines,  All other unused loan commitments,    Unused unsecured commercial real estate lines,  Unused securities underwriting commitments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of institutions reporting,Total employees (full-time equivalent),Total Assets,  Loans secured by real estate,    1-4 Family residential mortgages,    Nonfarm nonresidential,    Construction and development,    Home equity lines,    Multifamily residential real estate,    Farmland,    Real estate loans in foreign offices,  Commercial & industrial loans,  Loans to individuals,    Credit cards,    Other loans to individuals,        Auto loans,  Farm loans,  Loans to depository institutions,  Loans to foreign governments & official institutions,  Obligations of states & political subdivisions in the U.S.,  Other loans,  Acceptances of other banks,  Lease financing receivables,  Gross total loans and leases,    Less: Unearned income,  Total loans and leases,    Less: Reserve for losses,  Net loans and leases,  Securities,    Available for sale (fair value),    Held to maturity (amortized cost),    U.S. Treasury securities,    Mortgage-backed securities,    State and municipal securities,    Equity securities,  Cash and due from depository institutions,  Federal  funds sold and reverse repurchase agreements,  Bank premises and fixed assets,  Other real estate owned,  Trading account assets,  Intangible assets,    Goodwill,  Other Assets,Total liabilities and capital,  Deposits,    Foreign office deposits,    Domestic office deposits,      Interest-bearing deposits,      Noninterest-bearing deposits,      Estimated insured deposits,      Time deposits,      Brokered deposits,  Federal funds purchased & repurchase agreements,  FHLB advances,  Other borrowed money,  Banks liability on acceptances,  Subordinated debt,  Trading account liabilities,  Other liabilities,  Total liabilities,  Total equity capital,    Total bank equity capital  ,      Perpetual preferred stock,      Common stock,      Surplus,      Undivided profits,      Foreign currency translation adjustment,      Cumulative other comprehensive income,        Net unrealized gains/losses on a-f-s securities,Tier 1 leverage capital (PCA definition),Tier 1 risk based capital (PCA definition),Total risk based capital (PCA definition),Loans and leases 30-89 days past due,Loans and leases 90 days or more past due,Loans and leases in nonaccrual status,Restructured and current loans and leases,"Income earned, not collected on loans",Loans and leases in foreign offices,Assets in foreign offices,Loans and leases held for sale,Earning assets,Unused loan commitments - total,  Unused home equity lines,  Unused credit card lines,  Unused commercial real estate lines,  All other unused loan commitments,    Unused unsecured commercial real estate lines,  Unused securities underwriting commitments
1986,3,"18,000","1,631,234","4,158,122","1,287,224",N/A,"226,989","198,690",N/A,"91,302","12,459","16,343","601,503","388,343","93,406","294,937",N/A,"34,203","65,378","39,257","60,961","88,626","2,511","27,828","2,556,093","56,888","2,539,006","34,831","2,504,175","825,189",N/A,N/A,"121,727","213,668","154,928","5,695","349,077","132,765","56,571","20,333","44,642","31,547","29,089","151,470","4,158,118","3,234,567","324,836","2,909,731","2,465,240","438,972","2,339,479","1,481,717","72,580","295,691","94,021","122,813","42,540","20,916",N/A,"87,080","3,924,539","233,147","233,147","1,508","31,725","83,517","116,245",-322,N/A,N/A,"186,332","186,332",N/A,"31,788","11,019","40,052","2,725","30,812","237,049","416,226",N/A,"3,656,785","577,469",N/A,N/A,N/A,"5,141",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,4,"17,876","1,627,520","4,327,565","1,321,017",N/A,"241,616","203,128",N/A,"95,225","12,709","17,274","633,271","399,807","100,243","299,564",N/A,"31,602","70,258","39,390","58,900","92,242","3,169","29,198","2,642,227","53,476","2,625,487","37,992","2,587,494","852,140",N/A,N/A,"127,138","237,030","142,066","5,979","404,657","143,517","57,609","21,521","43,155","31,425","28,841","145,868","4,327,560","3,366,694","313,795","3,052,900","2,523,786","525,642","2,339,507","1,468,073","77,488","316,359","102,420","132,610","40,441","21,522",N/A,"82,855","4,089,644","237,521","237,521","1,496","32,099","89,628","114,158",-317,N/A,N/A,"189,657","189,657",N/A,"35,382","10,389","39,340","2,752","28,888","226,827","408,950",N/A,"3,783,867","582,124",N/A,N/A,N/A,"5,531",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,1,"17,741","1,622,939","4,301,277","1,335,101",N/A,"252,385","203,246",N/A,"98,335","13,198","16,815","617,648","393,450","98,217","295,233",N/A,"29,200","67,743","39,794","58,515","85,221","2,686","29,580","2,624,596","50,580","2,608,485","39,493","2,568,992","869,843",N/A,N/A,"172,960","260,637","134,237","6,496","369,167","134,682","58,367","24,093","43,478","32,289","28,715","159,563","4,301,272","3,331,095","332,322","2,998,773","2,541,469","453,219","2,339,093","1,464,598","78,270","318,192","99,658","147,750","40,977","22,186",N/A,"88,198","4,056,819","244,452","244,452","1,918","31,959","93,327","117,097",-278,N/A,N/A,"195,254","195,254",N/A,"36,520","10,599","56,958","3,076","28,964","229,039","422,883",N/A,"3,775,077","658,321",N/A,N/A,N/A,"5,893",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,2,"17,605","1,682,117","4,353,713","1,374,999",N/A,"262,702","204,838",N/A,"101,129","13,830","17,441","615,847","400,037","101,197","298,840",N/A,"30,820","67,031","39,564","56,157","88,421","3,490","30,020","2,671,576","50,864","2,655,633","58,481","2,597,153","894,822",N/A,N/A,"175,183","283,397","129,997","6,561","365,253","140,006","59,127","25,813","39,054","33,894","30,084","160,862","4,353,708","3,362,417","335,992","3,026,425","2,557,978","463,571","2,433,930","1,488,839","85,052","318,235","106,284","153,027","37,837","22,277",N/A,"89,998","4,119,570","234,139","234,139","2,496","32,578","96,361","102,659",-264,N/A,N/A,"184,674","184,674",N/A,"29,691","9,925","56,588","3,163","29,965","226,262","417,691",N/A,"3,829,932","674,157",N/A,N/A,N/A,"6,636",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,3,"17,504","1,628,315","4,407,108","1,413,686",N/A,"269,726","208,681",N/A,"104,839","14,147","18,666","613,385","409,770","106,556","303,214",N/A,"31,041","65,710","39,272","55,143","90,838","3,458","30,608","2,717,895","51,043","2,701,979","59,154","2,642,825","915,695",N/A,N/A,"181,031","301,879","126,177","6,460","351,631","136,914","60,133","27,831","36,880","34,199","30,114","165,511","4,407,104","3,378,470","344,399","3,034,070","2,587,454","441,952","2,438,788","1,532,546","93,422","329,820","110,351","164,733","35,627","22,487",N/A,"97,108","4,169,244","237,860","237,860","2,899","32,836","98,112","104,019",-267,N/A,N/A,"189,933","189,933",N/A,"30,946","10,296","56,214","3,179","31,156","225,076","423,477",N/A,"3,892,442","679,059",N/A,N/A,N/A,"7,812",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,4,"17,325","1,618,488","4,502,060","1,452,649","234,386","279,660","209,841","28,836","106,941","14,433","17,420","623,064","421,085","115,394","305,691",N/A,"29,427","64,292","39,354","52,813","83,407","4,931","32,477","2,769,228","50,258","2,753,379","62,446","2,690,933","942,399",N/A,N/A,"178,089","324,255","122,324","6,125","381,656","133,847","61,245","29,571","32,813","34,482","30,113","157,532","4,502,056","3,473,275","341,610","3,131,665","2,658,460","469,868","2,453,802","1,601,819","106,226","332,372","121,014","171,889","37,726","22,562",N/A,"88,061","4,267,651","234,405","234,405","2,673","32,953","100,118","98,880",-266,N/A,N/A,"189,891","189,891",N/A,"35,013","9,391","55,517","3,218","30,554","221,603","425,104",N/A,"3,967,061","686,341",N/A,N/A,N/A,"7,489",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,1,"17,142","1,605,263","4,540,892","1,480,929","236,555","287,072","210,483","31,625","108,297","14,682","21,086","631,371","421,420","115,247","306,173",N/A,"28,607","64,798","38,839","51,186","85,999","3,505","32,556","2,806,317","49,043","2,790,306","63,450","2,726,856","945,730",N/A,N/A,"172,980","324,484","117,626","6,692","352,957","149,367","61,789","31,468","42,196","34,213","29,671","162,109","4,540,890","3,490,929","333,727","3,157,202","2,722,063","431,125","2,480,817","1,652,078","108,820","341,684","117,862","184,285","34,304","22,558",N/A,"90,696","4,306,198","234,692","234,692","2,685","33,186","101,463","97,499",-269,N/A,N/A,"193,469","193,469",N/A,"37,046","10,215","55,197","3,273","30,359","228,893","433,121",N/A,"4,024,005","704,030",N/A,N/A,N/A,"6,921",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,2,"16,993","1,612,664","4,611,832","1,525,665","740,469","294,168","213,317","45,199","108,938","15,202","21,195","635,464","426,618","112,386","314,232",N/A,"30,619","63,379","37,626","49,588","87,630","3,313","33,731","2,862,086","47,980","2,845,784","62,601","2,783,183","956,106",N/A,N/A,"171,271","340,939","113,858","8,716","361,302","143,281","62,315","33,204","38,506","34,883","30,051","166,133","4,611,829","3,540,442","329,122","3,211,319","2,750,867","455,636","2,577,068","1,675,666","115,457","341,863","122,623","186,394","33,026","22,623",N/A,"93,210","4,373,333","238,496","238,496","3,522","33,103","103,215","98,811",-323,N/A,N/A,"198,310","198,310",N/A,"33,297","10,080","53,164","3,290","30,791","220,457","417,181",N/A,"4,079,879","717,081",N/A,N/A,N/A,"7,173",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,3,"16,758","1,601,527","4,692,092","1,569,276","766,548","300,048","217,264","49,073","109,292","15,416","21,200","631,364","435,898","116,462","319,437",N/A,"31,136","60,310","35,735","48,691","86,821","4,158","34,690","2,906,115","48,931","2,889,291","60,058","2,829,234","970,008",N/A,N/A,"170,166","348,392","111,917","9,216","368,351","143,781","62,675","37,745","42,165","34,014","28,929","170,782","4,692,090","3,570,436","328,362","3,242,073","2,793,229","444,025","2,564,017","1,732,983","127,231","356,052","128,556","196,436","33,458","22,387",N/A,"95,858","4,438,047","254,043","254,043","3,511","33,094","103,242","114,383",-338,N/A,N/A,"203,802","203,802",N/A,"34,222","10,377","55,522","3,192","32,315","214,310","416,272",N/A,"4,143,635","728,747",N/A,N/A,N/A,"7,236",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,4,"16,561","1,602,907","4,758,966","1,602,527","783,877","307,729","216,995","51,641","112,133","15,517","22,128","645,568","446,091","125,989","320,102",N/A,"30,221","58,762","35,463","45,296","86,978","5,058","35,828","2,959,938","48,508","2,943,436","57,209","2,886,227","982,027",N/A,N/A,"167,878","357,381","107,730","9,297","381,440","131,331","63,163","35,958","35,643","32,652","27,408","177,476","4,758,965","3,626,504","315,079","3,311,425","2,834,170","473,862","2,556,546","1,767,537","135,964","345,824","139,399","205,286","33,193","22,367",N/A,"95,275","4,496,301","262,664","262,664","3,685","33,168","108,822","117,167",-309,N/A,N/A,"206,864","206,864",N/A,"36,384","9,603","49,660","3,345","33,179","210,663","404,626",N/A,"4,188,809","737,784",N/A,N/A,N/A,"7,451",N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,1,"16,258","1,600,115","4,698,928","1,590,102","861,437","310,815","210,930","60,592","107,390","15,920","23,019","646,723","434,787","120,319","314,468",N/A,"28,732","56,803","35,334","44,537","88,490","4,987","35,551","2,936,267","46,367","2,919,800","53,218","2,866,582","965,466",N/A,N/A,"177,062","356,824","104,976","18,898","356,886","143,533","62,702","31,097","42,205","27,750","22,463","168,968","4,698,928","3,547,584","324,852","3,222,732","2,785,392","433,267","2,473,522","1,765,947","137,389","366,490","137,138","209,766","31,177","22,376",N/A,"93,737","4,422,269","276,659","276,659","3,385","33,223","106,594","134,484",-356,-974,N/A,"212,846","212,846",N/A,"44,448","9,749","51,911","3,252","32,247","218,041","414,449",N/A,"4,167,986","735,430",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,2,"16,142","1,616,104","4,740,289","1,610,492","871,547","318,089","207,494","65,479","108,104","16,385","23,395","654,868","441,460","123,382","318,078",N/A,"31,044","54,894","33,439","43,199","93,937","4,221","35,812","2,974,644","45,590","2,957,905","52,482","2,905,422","957,867",N/A,N/A,"167,288","363,176","101,625","18,851","358,327","146,821","62,901","31,546","41,082","27,351","22,035","176,340","4,740,289","3,561,085","323,311","3,237,774","2,772,948","464,825","2,604,382","1,805,635","138,087","364,951","133,797","211,233","29,858","22,804",N/A,"100,773","4,459,287","281,002","281,002","3,305","33,121","108,471","137,058",-415,-919,N/A,"217,083","217,083",N/A,"39,000","10,536","54,131","3,217","33,114","215,038","415,336",N/A,"4,196,874","739,652",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,3,"15,971","1,600,611","4,718,377","1,624,905","876,365","320,610","210,863","69,852","107,683","16,567","22,965","658,702","449,517","127,815","321,702",N/A,"31,810","56,766","30,978","42,403","91,692","3,574","37,422","3,000,053","44,146","2,983,769","60,501","2,923,269","938,598",N/A,N/A,"156,298","353,616","100,516","18,678","351,566","136,634","63,437","32,591","37,799","26,232","20,782","177,201","4,718,377","3,570,669","323,438","3,247,231","2,795,330","452,121","2,597,975","1,816,157","130,370","350,625","127,394","207,494","28,464","23,904",N/A,"102,955","4,442,219","276,158","276,158","3,312","33,015","110,168","130,617",-407,-921,N/A,"214,874","214,874",N/A,"41,552","11,741","56,531","3,358","33,998","211,763","411,087",N/A,"4,179,557","751,997",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,"15,797","1,605,720","4,736,409","1,613,144","871,654","321,703","202,164","72,473","105,639","16,722","22,790","659,662","459,490","138,768","320,722",N/A,"31,127","58,296","28,533","40,459","93,182","4,355","38,620","3,002,760","40,054","2,986,997","62,283","2,924,715","918,548",N/A,N/A,"150,836","343,996","95,581","18,449","372,561","152,073","64,218","34,185","43,054","24,680","18,774","172,634","4,736,409","3,630,852","311,712","3,319,141","2,826,880","492,520","2,571,050","1,810,784","127,300","339,022","116,796","197,550","27,250","24,449",N/A,"102,069","4,462,215","274,194","274,194","3,130","32,938","113,630","125,467",-380,-943,N/A,"214,251","214,251",N/A,"43,482","10,738","56,808","3,331","33,524","209,824","402,030",N/A,"4,176,534","756,033",N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1,"15,587","1,901,759","4,670,805","1,588,407","851,032","322,639","195,607","74,676","103,957","16,840","23,656","661,213","442,333","129,866","312,445",N/A,"29,743","55,935","27,258","40,153","89,702","3,504","38,158","2,955,916","35,826","2,940,703","60,560","2,880,143","878,896",N/A,N/A,"183,275","365,197","94,082","17,337","360,406","169,693","64,002","35,605","50,380","23,729","17,379","179,383","4,670,808","3,571,917","326,731","3,245,187","2,798,154","445,738","2,547,276","1,772,567","113,011","338,878","102,961","199,128","25,829","23,923",N/A,"109,410","4,388,879","282,027","282,027","3,228","32,812","114,978","132,534",-440,"-1,102",N/A,"265,088","265,088","322,350","63,130","14,479","72,345","20,256","29,974","211,152","422,007",N/A,"4,132,592","1,123,613","49,969","310,148",N/A,"610,718",N/A,"5,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,2,"15,436","1,904,728","4,686,705","1,606,387","866,592","325,363","190,826","78,976","102,005","17,198","25,427","657,152","443,299","130,070","313,226",N/A,"32,320","53,835","25,397","37,400","91,581","3,015","38,155","2,969,619","34,097","2,954,580","58,456","2,896,124","880,309",N/A,N/A,"182,474","372,181","90,375","16,945","355,219","171,892","64,461","36,975","51,552","24,539","17,272","179,402","4,686,705","3,600,282","330,061","3,270,221","2,809,290","460,890","2,652,821","1,786,709","113,895","328,883","98,715","182,083","23,915","24,322",N/A,"109,978","4,399,659","287,051","287,051","3,025","32,986","117,418","134,815",-442,"-1,043",N/A,"269,443","269,443","327,883","54,886","14,333","74,642","20,093","29,953","211,152","420,012",N/A,"4,143,088","1,182,757","52,633","364,985",N/A,"627,901",N/A,"3,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,3,"15,279","1,876,085","4,691,535","1,613,317","872,446","325,823","184,388","84,202","101,908","17,372","27,178","655,337","451,328","135,659","315,668",N/A,"33,645","53,086","25,055","36,381","91,769","2,590","38,927","2,984,163","32,470","2,969,114","62,147","2,906,968","885,901",N/A,N/A,"182,319","386,326","89,502","15,927","338,089","168,699","64,700","40,442","53,545","24,707","17,117","181,190","4,691,535","3,611,503","329,589","3,281,913","2,829,655","452,018","2,649,854","1,803,288","108,011","322,003","94,136","180,586","24,806","23,747",N/A,"113,116","4,404,401","287,133","287,133","3,152","32,941","119,178","133,289",-406,"-1,252",N/A,"268,520","268,520","327,539","59,197","14,864","81,136","22,096","30,642","219,013","416,954",N/A,"4,149,358","1,173,528","54,616","373,153",N/A,"617,443",N/A,"3,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,4,"15,159","1,863,554","4,656,548","1,589,704","859,874","329,246","170,795","85,822","100,067","17,314","26,587","646,452","451,447","141,936","309,511",N/A,"33,337","51,656","25,480","34,291","89,849","3,943","39,110","2,950,694","29,101","2,936,384","65,695","2,870,689","890,402",N/A,N/A,"175,539","398,404","85,965","15,298","358,036","161,826","65,408","44,363","49,050","24,950","16,175","167,271","4,656,548","3,637,392","293,445","3,343,946","2,846,326","497,621","2,629,478","1,798,307","108,724","292,290","93,516","165,130","21,926","28,251",N/A,"105,911","4,370,397","286,151","286,151","3,274","32,794","123,298","128,119",-532,"-1,199",N/A,"267,078","267,078","331,245","68,053","14,552","88,653","24,933","28,504","208,784","389,643",N/A,"4,097,071","1,169,665","55,383","391,625",N/A,"612,890",N/A,"3,191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,1,"15,000","1,833,216","4,568,364","1,570,060","851,894","329,616","160,514","87,045","97,225","17,586","26,179","634,167","435,675","137,267","298,408",N/A,"32,365","51,218","24,709","33,213","87,607","4,140","37,983","2,898,499","26,205","2,885,083","64,728","2,820,355","897,117",N/A,N/A,"185,672","433,686","82,902","16,065","299,786","165,152","64,800","47,912","54,690","24,677","15,609","174,718","4,568,364","3,568,883","305,172","3,263,711","2,835,553","427,684","2,679,498","1,763,864","96,792","279,730","85,011","159,811","19,270","28,211",N/A,"111,748","4,276,088","292,276","292,276","3,077","33,495","124,411","132,514",-620,"-1,123",N/A,"273,547","273,547","337,456","67,579","15,331","93,793","24,521","27,648","207,279","395,431","14,125","4,065,804","1,182,983","57,109","406,548","66,016","606,236","10,991","3,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,"14,839","1,823,223","4,545,210","1,563,283","853,701","329,608","151,805","89,028","96,319","18,118","24,704","614,496","430,375","138,210","292,165",N/A,"34,897","44,846","24,966","31,663","88,503","2,570","37,744","2,861,092","25,340","2,848,144","63,968","2,784,176","894,767",N/A,N/A,"197,808","435,893","79,205","15,992","319,741","170,078","64,465","46,182","58,148","23,767","14,608","167,099","4,545,210","3,560,912","301,310","3,259,602","2,804,986","454,615","2,681,467","1,706,710","89,935","272,668","74,813","154,498","16,907","28,367",N/A,"108,442","4,249,838","295,372","295,372","3,077","33,634","126,393","133,444",-633,"-1,087",N/A,"277,724","277,724","341,195","57,996","14,880","93,391","24,731","26,185","202,788","388,766","18,408","4,035,219","1,204,730","58,313","432,376","60,119","607,599","9,767","2,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,3,"14,680","1,801,400","4,573,604","1,541,086","842,605","327,221","140,753","91,830","94,745","18,403","25,529","596,190","428,091","139,508","288,583",N/A,"35,964","49,637","25,683","30,889","87,959","2,018","37,065","2,823,117","24,106","2,810,635","63,869","2,746,766","916,020",N/A,N/A,"208,674","444,941","77,053","17,023","337,720","180,870","64,184","45,661","72,247","23,961","14,221","169,105","4,573,604","3,583,014","301,866","3,281,148","2,805,946","475,202","2,699,511","1,679,960","82,775","274,121","68,495","157,351","17,196","27,919",N/A,"111,349","4,274,415","299,189","299,189","3,250","32,731","129,006","135,236",-681,-989,N/A,"280,765","280,765","343,874","56,876","14,945","89,908","23,866","25,202","204,195","404,998","17,307","4,042,719","1,219,665","59,037","455,378","56,055","604,690","9,325","2,781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
